HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
100111,DURUM WHEAT: SEED,4.91,0,0,0
100119,OTHER DURUM WHEAT EXCL SEED,29.41,0,0,0
100191,WHEAT AND MESLIN SEED EXCL. DURUM WHEAT,107.73,0,0.12,0
100199,OTHER WHEAT AND MESLIN,"46,941.02",0.013,94.27,0.0003
100210,RYE -SEED,3.16,0,0,0
100290,RYE- OTHER EXCL SEED,1.02,0,0,0
100310,BARLEY SEED,194.32,0.0001,19.82,0.0001
100390,OTHER BARLEY EXCL SEED,"1,901.64",0.0005,211.54,0.0007
100410,OATS SEED,11.85,0,0,0
100490,OTHER OATS EXCL SEED,515.79,0.0001,48.42,0.0002
100510,MAIZE SEED,"47,550.43",0.0131,"4,723.80",0.0162
100590,OTHER MAIZE (CORN),"318,459.14",0.088,"9,341.12",0.0321
100610,RICE IN HUSK (PADDY OR ROUGH),"101,112.47",0.0279,"6,773.19",0.0233
100620,HUSKED (BROWN) RICE,"107,778.82",0.0298,"9,463.14",0.0325
100630,SEMI/WHOLLY MILED RICE W/N POLISHED/GLAZED,"8,250,262.88",2.2795,"759,398.77",2.6117
100640,BROKEN RICE,"160,212.21",0.0443,"18,441.70",0.0634
100710,GRAIN SORGHUM SEED,"6,828.67",0.0019,261.4,0.0009
100790,OTHER GRAIN SORGHUM EXCL SEED,"7,631.80",0.0021,577.04,0.002
100810,BUCK WHEAT,503.67,0.0001,22.05,0.0001
100821,MILLET : SEED,"5,359.65",0.0015,771.89,0.0027
100829,OTHER MILLET EXCL SEED,"28,529.43",0.0079,"1,684.24",0.0058
100830,CANARY SEED,262.21,0.0001,28.55,0.0001
100850,CANNARY SEEDS-QUINOA(CHENOPODIUM QUINOA),"2,307.07",0.0006,352,0.0012
100860,CANNARY SEEDS-TRITICALE,0.85,0,0,0
100890,OTHER CEREALS :,"9,657.02",0.0027,827.01,0.0028
10,CEREALS.,"9,096,167.17",2.5132,"813,040.06",2.7961
1,LIVE ANIMALS.,"10,246.96",0.0028,"1,640.34",0.0056
2,MEAT AND EDIBLE MEAT OFFAL.,"3,174,669.89",0.8772,"218,482.12",0.7514
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","5,071,041.86",1.4011,"354,261.75",1.2183
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","517,436.08",0.143,"45,391.21",0.1561
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.","222,725.13",0.0615,"9,167.98",0.0315
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,"71,782.88",0.0198,"5,814.78",0.02
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"1,606,670.21",0.4439,"131,715.67",0.453
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"1,355,788.69",0.3746,"126,818.70",0.4361
9,"COFFEE, TEA, MATE AND SPICES.","3,922,976.27",1.0839,"395,308.40",1.3595
10,CEREALS.,"9,096,167.17",2.5132,"813,040.06",2.7961
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"596,835.05",0.1649,"58,460.84",0.2011
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","1,774,620.01",0.4903,"143,013.57",0.4918
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","805,378.60",0.2225,"67,435.16",0.2319
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,"37,878.79",0.0105,"3,718.92",0.0128
